{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 320, 'n_target': 40, 'labeled': True, 'classical': 0.0975, 'supervised': 0.0625, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 61, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0058, 'n_source': 50, 'n_target': 4096, 'labeled': False, 'lipton': 0.095, 'prop-target-estimate': 0.58642578125, 'oracle': 0.095, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 4096, 'labeled': False, 'lipton': 0.1225, 'prop-target-estimate': 0.626953125, 'oracle': 0.1225, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 80, 'n_target': 6360, 'labeled': True, 'classical': 0.01, 'supervised': 0.0275, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 25, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 50, 'n_target': 2048, 'labeled': False, 'lipton': 0.135, 'prop-target-estimate': 0.6005859375, 'oracle': 0.135, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 3120, 'n_target': 40, 'labeled': True, 'classical': 0.09, 'supervised': 0.0125, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 74, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.13, 'prop-target-estimate': 0.6875, 'oracle': 0.13, 'classical': 'nan', 'supervised': 'nan', 'iter': 2, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.1325, 'prop-target-estimate': 0.59765625, 'oracle': 0.1325, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.19, 'prop-target-estimate': 0.65625, 'oracle': 0.19, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 512, 'n_target': 50, 'labeled': False, 'lipton': 0.0525, 'prop-target-estimate': 0.68, 'oracle': 0.0525, 'classical': 'nan', 'supervised': 'nan', 'iter': 94, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.0575, 'prop-target-estimate': 0.6, 'oracle': 0.0575, 'classical': 'nan', 'supervised': 'nan', 'iter': 86, 'setup': 'constant-prop-source'}
